1,1,0,0,3,3,0,1,3,2,0,0,1,2,0,0|1.1844
1,1,0,1,6,3,0,0,1,2,0,0,0,2,0,2|1.1432
1,1,1,0,6,3,0,0,3,0,0,2,2,0,2,0|1.0716
0,1,1,1,0,6,3,0,0,3,0,2,3,2,0,2|1.1297
0,1,1,1,0,6,3,2,3,3,0,2,0,2,0,3|1.1774
0,1,1,3,3,6,3,2,0,3,0,3,0,2,0,3|1.0949
3,1,1,3,0,6,3,2,0,3,0,6,0,2,0,3|1.0220
3,1,1,3,6,3,2,0,3,0,6,0,2,0,3,1|1.0788
3,1,0,0,6,1,3,3,3,3,6,0,2,0,3,1|1.0153
3,0,0,2,6,1,3,0,3,1,6,3,2,3,3,1|1.1214
3,1,3,2,6,1,6,3,3,3,3,1,2,0,3,0|1.1671
3,1,3,2,6,1,6,3,3,3,6,1,2,0,1,0|1.1326
3,1,3,2,6,1,12,3,3,3,1,1,2,0,2,0|1.0376
3,1,3,2,6,1,12,3,6,1,1,1,2,2,0,0|1.0024
3,1,3,2,12,1,12,3,2,3,1,1,0,2,0,0|0.7667
3,1,3,2,12,1,12,3,2,3,1,1,2,0,2,0|0.8307
3,1,3,2,12,1,12,3,2,3,3,1,2,0,1,0|0.7544
3,1,3,2,12,1,12,3,0,2,6,1,1,2,0,1|0.6577
3,1,3,2,12,3,12,3,1,2,6,1,3,0,0,1|0.5806
3,1,3,2,12,3,12,3,3,6,1,0,3,0,1,1|0.5031
3,1,3,2,12,3,12,3,3,3,6,1,0,3,1,1|0.5452
3,1,3,2,12,3,12,3,6,6,1,0,3,1,1,3|0.4670
3,1,3,2,12,3,12,3,6,6,1,3,3,1,1,3|0.5084
3,1,3,2,12,3,12,2,6,6,1,3,3,1,1,6|0.4794
3,1,3,2,12,3,12,2,12,1,3,2,3,1,1,6|0.3600
3,1,3,2,24,3,12,2,3,1,3,2,2,1,1,6|0.0602
0,3,3,0,3,0,0,2,1,0,2,1,0,1,0,3|9.3938
3,3,0,0,3,0,2,0,1,2,1,2,1,0,3,0|9.5563
6,0,0,0,3,2,0,2,3,1,2,0,1,3,0,0|9.4793
6,0,0,0,3,2,2,1,3,3,0,0,1,3,0,0|9.5028
6,0,0,0,3,2,3,0,6,0,0,1,1,3,0,0|9.4069
6,2,3,0,3,0,0,1,6,3,0,0,1,0,0,2|9.5715
6,2,3,1,3,3,0,0,6,0,0,2,1,0,0,3|9.7167
6,2,3,1,6,0,0,3,6,0,2,0,1,0,3,0|9.6924
12,2,3,1,6,0,2,3,1,0,3,0,0,0,1,0|9.7087
12,2,3,1,6,2,3,0,1,3,0,1,0,1,0,0|9.8855
12,2,6,1,6,2,0,1,1,3,0,0,0,1,0,2|9.9330
12,2,6,1,6,2,1,0,1,3,0,0,1,0,2,2|10.1110
12,2,6,1,6,3,0,3,1,3,0,0,1,2,2,0|10.0896
12,2,6,1,6,3,3,3,1,3,0,0,3,2,0,0|10.0988
12,2,6,1,6,6,3,3,1,2,0,0,3,2,0,0|10.1485
12,2,6,1,12,3,3,1,3,0,0,0,3,2,0,0|9.9489
